WINE_ID,WINE_NM,WINE_REGION_NM,WINE_CAT,WINE_PC
6719,Gagliasso Barbera d'Alba Vigna Ciabot Rus 2011,"Barbera from Alba, Piedmont, Italy",Red Wine,27.98
6720,Gagliasso Barbera d'Alba Vigna Ciabot Rus 2013,"Barbera from Alba, Piedmont, Italy",Red Wine,29.99
6721,Gagliole Rubiolo Chianti Classico 2015,"Sangiovese from Chianti Classico, Chianti, Tuscany, Italy",Red Wine,19.0
6722,Gagliole Rubiolo Chianti Classico 2016,"Sangiovese from Chianti Classico, Chianti, Tuscany, Italy",Red Wine,26.0
6723,Gagliole Gallule Chianti Classico Riserva 2015,"Sangiovese from Chianti Classico, Chianti, Tuscany, Italy",Red Wine,109.0
6724,Gagliole Colli della Toscana Centrale 2011,"Sangiovese from Tuscany, Italy",Red Wine,59.0
6725,Gagnard Delagrange Chassagne Montrachet Blanc Premier Cru 2016,"Chardonnay from Chassagne-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France",White Wine,99.99
6726,Gagnard Delagrange Chassagne Montrachet Blanc 2016,"Chardonnay from Chassagne-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France",White Wine,64.99
6727,Gaia Notios White 2017,"Other White Blends from Nemea, Greece",White Wine,17.99
6728,Gaia 14-18h Agiorgitiko Rose 2017,"Rosé from Other Peloponnese, Greece",Pink and Rosé,17.99
6729,Gaia Santorini Thalassitis 2017,"Other White Wine from Santorini, Greece",White Wine,38.99
6730,Gaia Monograph Moschofilero 2017,"Other White Wine from Other Peloponnese, Greece",White Wine,14.99
6731,Gaia Ritinitis Nobilis Retsina,"Other White Wine from Other Peloponnese, Greece",White Wine,18.99
6732,Gaia Agiorgitiko 2016,"Other Red Wine from Nemea, Greece",Red Wine,23.99
6733,Gaia Notios Red 2017,"Other Red Blends from Nemea, Greece",Red Wine,15.99
6734,Gaia Monograph Assyrtiko 2017,"Assyrtiko from Nemea, Greece",White Wine,19.99
6735,Gaia Notios White 2015,"Other White Blends from Nemea, Greece",White Wine,12.99
6736,Gaia Monograph Agiorgitiko 2017,"Other Red Wine from Nemea, Greece",Red Wine,13.99
6737,Gaia Monograph Agiorgitiko 2016,"Other Red Wine from Nemea, Greece",Red Wine,14.99
6738,Gaia Santorini Wild Ferment Assyrtiko 2017,"Assyrtiko from Santorini, Greece",White Wine,39.99
6739,Gainey Sauvignon Blanc 2017,"Sauvignon Blanc from Santa Ynez Valley, Santa Barbara, Central Coast, California",White Wine,15.99
6740,Gainey Chardonnay 2016,"Chardonnay from Sta. Rita Hills, Santa Barbara, Central Coast, California",White Wine,22.99
6741,Gaja Costa Russi 2011,"Nebbiolo from Piedmont, Italy",Red Wine,500.0
6742,Gaja Rossj-Bass Chardonnay (375ML half-bottle) 2017,"Chardonnay from Piedmont, Italy",White Wine,55.99
6743,Gaja Alteni di Brassica Sauvignon Blanc 2016,"Sauvignon Blanc from Piedmont, Italy",White Wine,154.99
6744,Gaja Pieve Santa Restituta Brunello di Montalcino 2013,"Sangiovese from Montalcino, Tuscany, Italy",Red Wine,94.99
6745,Gaja Sperss 2013,"Nebbiolo from Piedmont, Italy",Red Wine,294.99
6746,Gaja Barbaresco 2015,"Nebbiolo from Barbaresco, Piedmont, Italy",Red Wine,219.99
6747,Gaja Conteisa 2014,"Nebbiolo from Barolo, Piedmont, Italy",Red Wine,269.99
6748,Gaja Sugarille Brunello di Montalcino 2013,"Sangiovese from Montalcino, Tuscany, Italy",Red Wine,199.0
6749,Gaja Sperss 2014,"Nebbiolo from Piedmont, Italy",Red Wine,279.99
6750,Gaja Rossj-Bass Chardonnay 2017,"Chardonnay from Piedmont, Italy",White Wine,109.99
6751,Gaja Sito Moresco 2015,"Other Red Blends from Piedmont, Italy",Red Wine,54.99
6752,Gaja Sori Tildin 2015,"Nebbiolo from Barbaresco, Piedmont, Italy",Red Wine,569.99
6753,Gaja Sori San Lorenzo 1997,"Nebbiolo from Piedmont, Italy",Red Wine,599.97
6754,Gaja Sori Tildin 2014,"Nebbiolo from Barbaresco, Piedmont, Italy",Red Wine,499.99
6755,Gaja Costa Russi 2015,"Nebbiolo from Barbaresco, Piedmont, Italy",Red Wine,569.99
6756,Gaja Sori San Lorenzo 2015,"Nebbiolo from Barbaresco, Piedmont, Italy",Red Wine,569.99
6757,Gaja DaGromis Barolo 2014,"Nebbiolo from Barolo, Piedmont, Italy",Red Wine,99.99
6758,Gaja Rennina Brunello di Montalcino 2013,"Sangiovese from Montalcino, Tuscany, Italy",Red Wine,175.0
6759,Gaja Ca' Marcanda Magari 2016,"Bordeaux Red Blends from Bolgheri, Tuscany, Italy",Red Wine,69.99
6760,Gaja Ca' Marcanda Vistamare 2016,"Other White Blends from Tuscany, Italy",White Wine,72.99
6761,Gaja Ca' Marcanda Promis 2015,"Tuscan Blends from Tuscany, Italy",Red Wine,46.99
6762,Galardi Roccamonfina Terra di Lavoro 2008,Other Red Blends from Italy,Red Wine,129.97
6763,Galardi Roccamonfina Terra di Lavoro 2015,Other Red Blends from Italy,Red Wine,105.0
6764,Galardi Roccamonfina Terra di Lavoro 2006,Other Red Blends from Italy,Red Wine,120.0
6765,Galardi Roccamonfina Terra di Lavoro 2014,Other Red Blends from Italy,Red Wine,104.99
6766,Galardi Roccamonfina Terra di Lavoro 2013,Other Red Blends from Italy,Red Wine,99.99
6767,Galerie Equitem Sauvignon Blanc 2017,"Sauvignon Blanc from Sonoma County, California",White Wine,33.99
6768,Galerie Pleinair Cabernet Sauvignon 2014,"Cabernet Sauvignon from Napa Valley, California",Red Wine,60.0
6769,Galerie Latro Cabernet Sauvignon 2014,"Cabernet Sauvignon from Knights Valley, Sonoma County, California",Red Wine,53.99
6770,Galerie Equitem Sauvignon Blanc 2016,"Sauvignon Blanc from Sonoma County, California",White Wine,32.99
6771,Galerie Latro Cabernet Sauvignon 2013,"Cabernet Sauvignon from Knights Valley, Sonoma County, California",Red Wine,52.99
6772,Galerie Naissance Sauvignon Blanc 2016,"Sauvignon Blanc from Napa Valley, California",White Wine,31.99
6773,Galil Mountain Cabernet Sauvignon 2017,Cabernet Sauvignon from Israel,Red Wine,15.99
6774,Galil Mountain Yiron 2014,Bordeaux Red Blends from Israel,Red Wine,31.99
6775,Galil Mountain Alon 2014,Other Red Blends from Israel,Red Wine,20.99
6776,Galil Mountain Merlot 2016,Merlot from Israel,Red Wine,16.99
6777,Galil Mountain Ela 2014,Other Red Blends from Israel,Red Wine,22.0
6778,Gallica Suzuri Shake Ridge Ranch Red 2012,"Other Red Blends from Sierra Foothills, California",Red Wine,55.99
6779,Gallica Soberanes Vineyard Syrah 2013,"Syrah/Shiraz from Santa Lucia Highlands, Monterey, Central Coast, California",Red Wine,60.0
6780,Gallo Estate Chardonnay 2012,Chardonnay from California,White Wine,53.99
6781,Gallo Estate Pinot Noir 2012,Pinot Noir from California,Red Wine,95.0
6782,Gallo Signature Series Sonoma Coast Chardonnay 2012,"Chardonnay from Sonoma Coast, Sonoma County, California",White Wine,33.0
6783,Gallo Signature Series Cabernet Sauvignon 2014,"Cabernet Sauvignon from Napa Valley, California",Red Wine,50.0
6784,Gallo Signature Series Santa Lucia Highlands Pinot Noir 2014,"Pinot Noir from Santa Lucia Highlands, Monterey, Central Coast, California",Red Wine,36.99
6785,Gallo Signature Series Dry Creek Zinfandel 2015,"Zinfandel from Napa Valley, California",Red Wine,50.0
6786,Gallo Signature Series Chardonnay 2013,"Chardonnay from Russian River, Sonoma County, California",White Wine,33.0
6787,Gambellara I Basalti Soave 2017,"Garganega from Soave, Veneto, Italy",White Wine,10.99
6788,Gamble Family Vineyards Napa Valley Cabernet Sauvignon 2015,"Cabernet Sauvignon from Napa Valley, California",Red Wine,60.0
6789,Gamble Family Vineyards Paramount Proprietary Red 2014,"Bordeaux Red Blends from Napa Valley, California",Red Wine,94.99
6790,Gamble Family Vineyards Napa Valley Cabernet Sauvignon 2014,"Cabernet Sauvignon from Napa Valley, California",Red Wine,54.99
6791,Gamble Family Vineyards Rose 2016,"Rosé from Napa Valley, California",Pink and Rosé,20.99
6792,Gamble Family Vineyards Gamble Vineyard Sauvignon Blanc 2017,"Sauvignon Blanc from Napa Valley, California",White Wine,28.99
6793,Gamble Family Vineyards Rose 2017,"Rosé from Napa Valley, California",Pink and Rosé,19.99
6794,Game of Thrones Napa Valley Cabernet Sauvignon 2015,"Cabernet Sauvignon from Napa Valley, California",Red Wine,49.99
6795,Game of Thrones Chardonnay 2016,"Chardonnay from Central Coast, California",White Wine,19.99
6796,Gancia Moscato di Asti,"Muscat from Veneto, Italy",White Wine,14.0
6797,Gancia Prosecco,"Non-Vintage Sparkling Wine from Prosecco, Italy",Sparkling & Champagne,14.0
6798,Gancia Moscato Rose,"Rosé Sparkling Wine from Veneto, Italy",Sparkling & Champagne,13.99
6799,Gandona Winery Cabernet Sauvignon (1.5L Magnum) 2012,"Cabernet Sauvignon from Napa Valley, California",Red Wine,439.97
6800,Garage Wine Co. Cinsault The Soothsayer's Ferment 2016,Cinsault from Chile,Red Wine,22.0
6801,Garage Wine Co. Carignan 2015,"Carignan from Maule Valley, Chile",Red Wine,38.99
6802,Garage Wine Co. Cinsault The Soothsayer's Ferment 2017,Cinsault from Chile,Red Wine,22.99
6803,Garage Wine Co. Pais Second Salvo Ferment 2016,"Other Red Wine from Maule Valley, Chile",Red Wine,19.99
6804,Garage Wine Co. Cabernet Sauvignon 2015,"Cabernet Sauvignon from Maipo Valley, Chile",Red Wine,37.99
6805,Garage Wine Co. Carignan 2014,"Carignan from Maule Valley, Chile",Red Wine,35.99
6806,Garciarevalo Tresolmos 2017,"Verdejo from Rueda, Spain",White Wine,18.99
6807,Garciarevalo Casamaro Verdejo 2017,"Verdejo from Rueda, Spain",White Wine,14.0
6808,Garciarevalo Casamaro Verdejo 2016,"Verdejo from Rueda, Spain",White Wine,13.99
6809,Garciarevalo Tresolmos 2015,"Verdejo from Rueda, Spain",White Wine,17.99
6810,Gardet Brut Reserve,"Non-Vintage Sparkling Wine from Champagne, France",Sparkling & Champagne,45.0
6811,Garnet Sonoma Coast Pinot Noir 2012,"Pinot Noir from Sonoma Coast, Sonoma County, California",Red Wine,20.99
6812,Garnet Sonoma Coast Chardonnay 2016,"Chardonnay from Sonoma Coast, Sonoma County, California",White Wine,14.99
6813,Garnet Sonoma Coast Pinot Noir 2013,"Pinot Noir from Sonoma County, California",Red Wine,19.99
6814,Garnet Monterey Pinot Noir 2015,"Pinot Noir from Monterey, Central Coast, California",Red Wine,14.99
6815,Garnier et Fils Fourchaume Premier Cru 2015,"Chardonnay from Chablis, Burgundy, France",White Wine,44.99
6816,Garofoli Verdicchio dei Castelli di Jesi Podium 2015,Verdicchio from Italy,White Wine,26.99
6817,Garofoli Rosso Conero Piancarda 2015,Montepulciano from Italy,Red Wine,17.99
6818,Garofoli Verdicchio dei Castello di Jesi Macrina 2017,Verdicchio from Italy,White Wine,14.99
6819,Gary Farrell Russian River Chardonnay 2016,"Chardonnay from Russian River, Sonoma County, California",White Wine,35.99
6820,Gary Farrell Russian River Pinot Noir (1.5 Liter Magnum) 2014,"Pinot Noir from Russian River, Sonoma County, California",Red Wine,84.97
6821,Gary Farrell Hallberg Vineyard Pinot Noir 2015,"Pinot Noir from Russian River, Sonoma County, California",Red Wine,55.99
6822,Gary Farrell Russian River Pinot Noir 2016,"Pinot Noir from Russian River, Sonoma County, California",Red Wine,45.0
6823,Gary Farrell Olivet Lane Chardonnay 2015,"Chardonnay from Russian River, Sonoma County, California",White Wine,43.99
6824,Gatekeeper Shiraz 2015,Syrah/Shiraz from Australia,Red Wine,16.99
6825,Gautier Vouvray De Gautier 2016,"Chenin Blanc from Vouvray, Touraine, Loire, France",White Wine,13.99
6826,Gautier Vouvray Argilex 2012,"Chenin Blanc from Vouvray, Touraine, Loire, France",White Wine,16.99
6827,Gautoul Cahors 2012,"Malbec from Cahors, Southwest, France",Red Wine,15.99
6828,Gazela Vinho Verde Rose,"Rosé from Vinho Verde, Portugal",Pink and Rosé,8.99
6829,Gazela Vinho Verde,"Other White Blends from Vinho Verde, Portugal",White Wine,7.99
6830,Gehricke Chardonnay 2016,"Chardonnay from Russian River, Sonoma County, California",White Wine,32.0
6831,Gehricke Los Carneros Pinot Noir 2015,"Pinot Noir from Carneros, California",Red Wine,32.0
6832,Gehricke Knights Valley Cabernet Sauvignon 2016,"Cabernet Sauvignon from Knights Valley, Sonoma County, California",Red Wine,37.99
6833,Gehricke Chardonnay 2015,"Chardonnay from Russian River, Sonoma County, California",White Wine,30.0
6834,Gehricke Petite Sirah 2016,"Petite Sirah from Sonoma County, California",Red Wine,30.0
6835,Gehricke Zinfandel 2016,"Zinfandel from Russian River, Sonoma County, California",Red Wine,26.99
6836,Gemstone Vineyard Alluvial Selection Cabernet Sauvignon 2015,"Cabernet Sauvignon from Yountville, Napa Valley, California",Red Wine,149.99
6837,Gentilini Robola 2016,Other White Wine from Greece,White Wine,20.99
6838,Georg Albrecht Schneider Niersteiner Paterberg Riesling Kabinett 2016,Riesling from Germany,White Wine,13.99
6839,Georges Roumier Bonnes Mares Grand Cru 2011,"Pinot Noir from Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,899.97
6840,Georges Vernay St Joseph Terres d'Encre 2016,"Syrah/Shiraz from Saint-Joseph, Rhone, France",Red Wine,47.99
6841,Georges Vernay Cote-Rotie Maison Rouge (1.5 Liter Magnum) 2013,"Syrah/Shiraz from Cote Rotie, Rhone, France",Red Wine,259.97
6842,Georges Vernay Cote-Rotie Blonde du Seigneur 2014,"Syrah/Shiraz from Cote Rotie, Rhone, France",Red Wine,89.99
6843,Georges Vernay Condrieu Les Chaillees de L'Enfer 2015,"Viognier from Condrieu, Rhone, France",White Wine,129.99
6844,Georges Vernay Condrieu Terrasses de l'Empire 2017,"Viognier from Condrieu, Rhone, France",White Wine,85.0
6845,Georges Vernay Cote-Rotie Maison Rouge 2013,"Syrah/Shiraz from Cote Rotie, Rhone, France",Red Wine,165.0
6846,Georges Vernay Cote-Rotie Maison Rouge 2014,"Syrah/Shiraz from Cote Rotie, Rhone, France",Red Wine,149.99
6847,Georges Vernay Cote-Rotie Blonde du Seigneur 2016,"Rhone Red Blends from Cote Rotie, Rhone, France",Red Wine,89.0
6848,Georges Vernay Condrieu Les Chaillees de L'Enfer 2016,"Viognier from Condrieu, Rhone, France",White Wine,129.0
6849,Georges Vigouroux Gouleyant Malbec 2017,"Malbec from Cahors, Southwest, France",Red Wine,12.99
6850,Gerard & Pierre Morin Sancerre Vieilles Vignes 2016,"Sauvignon Blanc from Sancerre, Loire, France",White Wine,29.99
6851,Gerard Bertrand Cigalus Blanc 2017,"Rhone White Blends from Languedoc-Roussillon, France",White Wine,51.99
6852,Gerard Bertrand Ballerine Etoile Brut Rose,"Rosé Sparkling Wine from Cremant de Limoux, Limoux, Languedoc-Roussillon, France",Sparkling & Champagne,51.99
6853,Gerard Bertrand Cote des Roses Rose 2017,"Rosé from Languedoc-Roussillon, France",Pink and Rosé,16.99
6854,Gerard Bertrand Gris Blanc Rose 2017,"Rosé from Languedoc-Roussillon, France",Pink and Rosé,15.0
6855,Gerard Bertrand Cigalus Rouge 2013,"Rhone Red Blends from Languedoc-Roussillon, France",Red Wine,49.99
6856,Gerard Bertrand Cuvee Thomas Jefferson Cremant de Limoux Brut Rose 2016,"Rosé Sparkling Wine from Cremant de Limoux, Limoux, Languedoc-Roussillon, France",Sparkling & Champagne,19.99
6857,Gerard Bertrand Kosmos Organic Red Blend 2014,"Rhone Red Blends from Languedoc-Roussillon, France",Red Wine,25.0
6858,Gerard Bertrand Cap Insula Red 2015,"Rhone Red Blends from Languedoc-Roussillon, France",Red Wine,25.0
6859,Gerard Bertrand Grand Terroir La Clape 2015,"Rhone Red Blends from La Clape, Languedoc-Roussillon, France",Red Wine,18.99
6860,Gerard Bertrand Hedonisme Rose 2017,"Rosé from Corbieres, Languedoc-Roussillon, France",Pink and Rosé,20.99
6861,Gerard Bertrand Cuvee Thomas Jefferson Cremant de Limoux Brut 2015,"Vintage Sparkling Wine from Cremant de Limoux, Limoux, Languedoc-Roussillon, France",Sparkling & Champagne,17.99
6862,Gerard Bertrand Code Rouge Blanc de Blanc,"Non-Vintage Sparkling Wine from Languedoc-Roussillon, France",Sparkling & Champagne,26.99
6863,Gerard Bertrand Chateau La Sauvageonne Rose 2016,"Rosé from Languedoc-Roussillon, France",Pink and Rosé,27.99
6864,Gerard Bertrand Grand Terroir Tautavel 2015,"Rhone Red Blends from Languedoc-Roussillon, France",Red Wine,21.0
6865,Gerard Bertrand Perles de Sauvignon Blanc 2017,"Sauvignon Blanc from Languedoc-Roussillon, France",White Wine,17.0
6866,Gerovassiliou Malagousia 2016,"Other White Wine from Macedonia, Greece",White Wine,27.99
6867,Gessinger Zeltinger Sonnenuhr Riesling Spatlese 2015,"Riesling from Mosel, Germany",White Wine,29.99
6868,Gessinger Zeltinger Schlossberg Riesling Kabinett 2015,"Riesling from Mosel, Germany",White Wine,17.0
6869,Getrank Gruner Veltliner (1 Liter) 2017,Gruner Veltliner from Austria,White Wine,14.99
6870,Geyser Peak Chardonnay 2015,Chardonnay from California,White Wine,12.0
6871,Geyser Peak Pinot Grigio 2017,Pinot Gris/Grigio from California,White Wine,9.99
6872,Geyser Peak Sauvignon Blanc 2017,Sauvignon Blanc from California,White Wine,10.99
6873,Geyser Peak Walking Tree Vineyard Cabernet Sauvignon 2015,"Cabernet Sauvignon from Alexander Valley, Sonoma County, California",Red Wine,19.99
6874,Geyser Peak Cabernet Sauvignon 2016,Cabernet Sauvignon from California,Red Wine,13.99
6875,Geyser Peak Pinot Grigio 2016,Pinot Gris/Grigio from California,White Wine,14.0
6876,Geyser Peak Pinot Noir 2015,Pinot Noir from California,Red Wine,14.99
6877,Geyser Peak Merlot 2015,Merlot from California,Red Wine,10.98
6878,Geyser Peak River Ranches Sauvignon Blanc 2016,"Sauvignon Blanc from Russian River, Sonoma County, California",White Wine,18.99
6879,Ghost Block Oakville Estate Cabernet Sauvignon 2015,"Cabernet Sauvignon from Oakville, Napa Valley, California",Red Wine,79.99
6880,Ghost Block Single Vineyard Cabernet Sauvignon 2015,"Cabernet Sauvignon from Yountville, Napa Valley, California",Red Wine,104.99
6881,Ghost Block MorgaenLee Sauvignon Blanc 2017,"Sauvignon Blanc from Yountville, Napa Valley, California",White Wine,25.99
6882,Ghost Block Pelissa Vineyard Zinfandel 2016,"Zinfandel from Oakville, Napa Valley, California",Red Wine,35.99
6883,Ghost Block Estate Cabernet Sauvignon (1.5L Magnum) 2006,"Cabernet Sauvignon from Oakville, Napa Valley, California",Red Wine,199.97
6884,Ghost Horse Vineyards Ghost Horse Cabernet 2006,"Cabernet Sauvignon from Napa Valley, California",Red Wine,429.97
6885,Ghost Pines Cabernet Sauvignon 2016,"Cabernet Sauvignon from North Coast, California",Red Wine,21.99
6886,Ghost Pines Red Blend 2015,Other Red Blends from California,Red Wine,17.99
6887,Ghost Pines Zinfandel 2016,Zinfandel from California,Red Wine,16.99
6888,Ghost Pines Chardonnay 2016,Chardonnay from California,White Wine,16.99
6889,Ghost Pines Winemaker's Blend Pinot Noir 2016,Pinot Noir from California,Red Wine,23.0
6890,Ghost Pines Merlot 2015,"Merlot from North Coast, California",Red Wine,16.99
6891,Ghostrunner Ungrafted Red 2017,"Other Red Blends from Lodi, California",Red Wine,12.99
6892,Ghostwriter Belle Farms Pinot Noir 2014,"Pinot Noir from Santa Cruz Mountains, California",Red Wine,52.99
6893,Ghostwriter Aptos Creek Vineyard Pinot Noir 2014,"Pinot Noir from Santa Cruz Mountains, California",Red Wine,51.99
6894,Ghostwriter Amaya Ridge Vineyard Pinot Noir 2014,"Pinot Noir from Santa Cruz Mountains, California",Red Wine,49.99
6895,Ghostwriter Woodruff Family Vineyard Pinot Noir 2015,"Pinot Noir from Santa Cruz Mountains, California",Red Wine,51.99
6896,Ghostwriter Santa Cruz Mountains Pinot Noir 2016,"Pinot Noir from Santa Cruz Mountains, California",Red Wine,34.99
6897,Ghostwriter Bates Ranch Cabernet Sauvignon 2014,"Cabernet Sauvignon from Santa Cruz Mountains, California",Red Wine,71.99
6898,Giacomelli Vermentino Colli di Luni Pianacce 2017,"Vermentino from Liguria, Italy",White Wine,26.99
6899,Gianni Brunelli Brunello di Montalcino 2012,"Sangiovese from Montalcino, Tuscany, Italy",Red Wine,56.99
6900,Giant Steps Yarra Valley Chardonnay 2016,"Chardonnay from Yarra Valley, Australia",White Wine,42.0
6901,Giant Steps Yarra Valley Chardonnay 2017,"Chardonnay from Yarra Valley, Australia",White Wine,35.0
6902,Giesen The Fuder Clayvin Single Vineyard Chardonnay 2014,"Chardonnay from Marlborough, New Zealand",White Wine,55.99
6903,Giesen Ridge Block Single Vineyard Pinot Noir 2013,"Pinot Noir from Marlborough, New Zealand",Red Wine,69.99
6904,Giesen Sauvignon Blanc 2017,"Sauvignon Blanc from Marlborough, New Zealand",White Wine,15.0
6905,Giesen Pinot Gris 2016,"Pinot Gris/Grigio from Marlborough, New Zealand",White Wine,12.99
6906,Giesen Ridge Block Single Vineyard Pinot Noir 2012,"Pinot Noir from Marlborough, New Zealand",Red Wine,70.0
6907,Giesen The Brothers Late Harvest Sauvignon Blanc (375ML) 2013,"Other Dessert from Marlborough, New Zealand",Screw Cap,34.99
6908,Giesen The Brothers Syrah 2011,"Syrah/Shiraz from Marlborough, New Zealand",Red Wine,60.0
6909,Giesen Clayvin Single Vineyard Pinot Noir 2012,"Pinot Noir from Marlborough, New Zealand",Red Wine,69.99
6910,Giesen Clayvin Single Vineyard Pinot Noir 2013,"Pinot Noir from Marlborough, New Zealand",Red Wine,70.0
6911,Giesen The Fuder Matthews Lane Sauvignon Blanc 2013,"Sauvignon Blanc from Marlborough, New Zealand",White Wine,57.99
6912,Giesen The Brothers Pinot Noir 2013,"Pinot Noir from Marlborough, New Zealand",Red Wine,29.99
6913,Giesen Riesling 2016,Riesling from New Zealand,White Wine,13.99
6914,GIFFT by Kathie Lee Gifford Red Blend 2015,"Other Red Blends from Monterey, Central Coast, California",Red Wine,20.0
6915,GIFFT by Kathie Lee Gifford Red Blend 2016,"Other Red Blends from Monterey, Central Coast, California",Red Wine,14.99
6916,Gilgal Chardonnay 2016,Chardonnay from Israel,White Wine,15.99
6917,Gilgal Merlot 2014,Merlot from Israel,Red Wine,17.99
6918,Gilgal Cabernet Sauvignon-Merlot 2014,Other Red Blends from Israel,Red Wine,14.99
6919,Gilgal Cabernet Sauvignon 2014,Cabernet Sauvignon from Israel,Red Wine,17.99
6920,Gilles Robin Crozes-Hermitage Cuvee Papillon 2017,"Syrah/Shiraz from Hermitage, Rhone, France",Red Wine,23.99
6921,Gilles Robin Crozes-Hermitage Cuvee Alberic Bouvet 2016,"Syrah/Shiraz from Hermitage, Rhone, France",Red Wine,29.99
6922,Gilles Troullier L'Esprit du Temps 2013,"Grenache from Languedoc-Roussillon, France",Red Wine,31.99
6923,Gillmore Hacedor de Mundos Cabernet Franc 2014,"Cabernet Franc from Maule Valley, Chile",Red Wine,36.99
6924,Gillmore Mariposa 2016,"Other Red Blends from Maule Valley, Chile",Red Wine,17.99
6925,Gillmore Mariposa 2014,"Other Red Blends from Maule Valley, Chile",Red Wine,20.0
6926,Gillmore Gillmore Vigno Carignan 2012,"Carignan from Maule Valley, Chile",Red Wine,45.0
6927,Gini Soave Classico 2017,"Garganega from Soave, Veneto, Italy",White Wine,19.99
6928,Giornata Sangiovese 2016,"Sangiovese from Paso Robles, Central Coast, California",Red Wine,31.99
6929,Giornata Aglianico 2016,"Other Red Wine from Paso Robles, Central Coast, California",Red Wine,31.99
6930,Giornata Luna Matta Vineyard Nebbiolo 2015,"Nebbiolo from Paso Robles, Central Coast, California",Red Wine,47.99
6931,Giornata Il Campo White 2017,"Other White Blends from Central Coast, California",White Wine,19.99
6932,Giornata Barbera 2017,"Barbera from Paso Robles, Central Coast, California",Red Wine,24.99
6933,Giornata Il Campo Rosso 2016,"Other Red Blends from Paso Robles, Central Coast, California",Red Wine,19.99
6934,Giovanni Almondo Arneis Bricco Ciliegie 2017,"Arneis from Piedmont, Italy",White Wine,25.99
6935,Giovanni Rosso Barolo Serra 2014,"Nebbiolo from Barolo, Piedmont, Italy",Red Wine,89.0
6936,Giovanni Rosso Langhe Nebbiolo 2016,"Nebbiolo from Piedmont, Italy",Red Wine,22.99
6937,Giovanni Rosso Serralunga d'Alba Barolo 2014,"Nebbiolo from Alba, Piedmont, Italy",Red Wine,49.99
6938,Giovanni Rosso Donna Margherita Barbera 2015,"Barbera from Piedmont, Italy",Red Wine,20.99
6939,Giovanni Rosso Barolo Serra 2013,"Nebbiolo from Barolo, Piedmont, Italy",Red Wine,94.99
6940,Giovanni Rosso Barolo 2013,"Nebbiolo from Barolo, Piedmont, Italy",Red Wine,46.99
6941,Girard Artistry 2015,"Bordeaux Red Blends from Napa Valley, California",Red Wine,43.99
6942,Girard Petite Sirah 2015,"Petite Sirah from Napa Valley, California",Red Wine,31.99
6943,Girard Sauvignon Blanc 2016,"Sauvignon Blanc from Napa Valley, California",White Wine,19.99
6944,Girard Cabernet Sauvignon 2016,"Cabernet Sauvignon from Napa Valley, California",Red Wine,40.0
6945,Girard Old Vine Zinfandel 2016,"Zinfandel from Napa Valley, California",Red Wine,26.99
6946,Girard Chardonnay 2014,"Chardonnay from Russian River, Sonoma County, California",White Wine,27.0
6947,Girasole Vineyards Hybrid Red 2017,"Other Red Blends from Mendocino, California",Red Wine,13.99
6948,Girasole Vineyards Cabernet Sauvignon 2017,"Cabernet Sauvignon from Mendocino, California",Red Wine,13.99
6949,Girasole Vineyards Chardonnay 2017,"Chardonnay from Mendocino, California",White Wine,13.99
6950,Girl & Dragon Pinot Grigio 2016,"Pinot Gris/Grigio from Veneto, Italy",White Wine,15.99
6951,Giuliana Prosecco,"Non-Vintage Sparkling Wine from Prosecco, Italy",Sparkling & Champagne,18.99
6952,Giuseppe Mascarello & Figlio Monprivato Barolo 2004,"Nebbiolo from Barolo, Piedmont, Italy",Red Wine,239.97
6953,GKG Cellars Cabernet Sauvignon 2015,"Cabernet Sauvignon from Napa Valley, California",Red Wine,135.0
6954,Glaetzer Amon Ra Shiraz 2015,"Syrah/Shiraz from Barossa Valley, Barossa, Australia",Red Wine,110.0
6955,Glaetzer Anaperenna Shiraz/Cabernet Sauvignon 2013,"Other Red Blends from Barossa Valley, Barossa, Australia",Red Wine,80.0
6956,Glatzer Zweigelt Riedencuvee 2017,Zweigelt from Austria,Red Wine,17.99
6957,Glatzer Gruner Veltliner 2017,Gruner Veltliner from Austria,White Wine,15.99
6958,Glen Carlou Grand Classique 2012,Bordeaux Red Blends from South Africa,Red Wine,20.0
6959,Glenelly Grand Vin Chardonnay 2012,Chardonnay from South Africa,White Wine,29.99
6960,Glenelly Glass Collection Cabernet Sauvignon 2014,Cabernet Sauvignon from South Africa,Red Wine,17.99
6961,Gloria Ferrer Blanc de Noirs,"Non-Vintage Sparkling Wine from Carneros, California",Sparkling & Champagne,22.0
6962,Gloria Ferrer Brut Rose,"Rosé Sparkling Wine from Sonoma County, California",Sparkling & Champagne,28.99
6963,Gloria Ferrer Blanc de Noirs (375ML half-bottle),"Non-Vintage Sparkling Wine from Carneros, California",Sparkling & Champagne,11.99
6964,Gloria Ferrer Sonoma Brut,"Non-Vintage Sparkling Wine from Sonoma County, California",Sparkling & Champagne,22.0
6965,Gloria Ferrer Blanc de Blancs,"Non-Vintage Sparkling Wine from Carneros, California",Sparkling & Champagne,22.0
6966,Glorioso Reserva 2013,"Tempranillo from Rioja, Spain",Red Wine,20.99
6967,Gnarly Head Cabernet Sauvignon 2016,Cabernet Sauvignon from California,Red Wine,11.99
